Evaluate with standard_BM25.txt
runid                 	all	STANDARD
gm_map                	all	0.1784
Rprec                 	all	0.3188
bpref                 	all	0.2817
recip_rank            	all	0.7444
iprec_at_recall_0.00  	all	0.7737
iprec_at_recall_0.10  	all	0.5906
iprec_at_recall_0.20  	all	0.4399
iprec_at_recall_0.30  	all	0.3433
iprec_at_recall_0.40  	all	0.2613
iprec_at_recall_0.50  	all	0.2129
iprec_at_recall_0.60  	all	0.1899
iprec_at_recall_0.70  	all	0.1445
iprec_at_recall_0.80  	all	0.1034
iprec_at_recall_0.90  	all	0.0728
iprec_at_recall_1.00  	all	0.0211
P_5                   	all	0.5600
P_10                  	all	0.5440
P_15                  	all	0.4987
P_20                  	all	0.4400
P_30                  	all	0.4013
P_100                 	all	0.2248
P_200                 	all	0.1500
P_500                 	all	0.0755
P_1000                	all	0.0442

--------------------------------------
Evaluate with simple_LMD.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	1046
map                   	all	0.2487
gm_map                	all	0.1565
Rprec                 	all	0.2973
bpref                 	all	0.2597
recip_rank            	all	0.7777
iprec_at_recall_0.00  	all	0.8061
iprec_at_recall_0.10  	all	0.5483
iprec_at_recall_0.20  	all	0.4098
iprec_at_recall_0.30  	all	0.3212
iprec_at_recall_0.40  	all	0.2464
iprec_at_recall_0.50  	all	0.2022
iprec_at_recall_0.60  	all	0.1687
iprec_at_recall_0.70  	all	0.1310
iprec_at_recall_0.80  	all	0.0904
iprec_at_recall_0.90  	all	0.0630
iprec_at_recall_1.00  	all	0.0152
P_5                   	all	0.5680
P_10                  	all	0.4920
P_15                  	all	0.4693
P_20                  	all	0.4300
P_30                  	all	0.3760
P_100                 	all	0.2024
P_200                 	all	0.1414
P_500                 	all	0.0729
P_1000                	all	0.0418

--------------------------------------
Evaluate with whitespace_BM25.txt
runid                 	all	STANDARD
num_q                 	all	25
num_ret               	all	25000
num_rel               	all	2132
num_rel_ret           	all	863
map                   	all	0.2060
gm_map                	all	0.1085
Rprec                 	all	0.2508
bpref                 	all	0.2281
recip_rank            	all	0.7800
iprec_at_recall_0.00  	all	0.7956
iprec_at_recall_0.10  	all	0.4737
iprec_at_recall_0.20  	all	0.3478
iprec_at_recall_0.30  	all	0.2525
